                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0769,                 3.5697,                 1.7608,                 0.0048,                0.39901,                0.05958,                 0.0184,                 2.0884,                 3.8608,                 1.9638,             0.00020004,             0.00020004,             0.00020004
                      2,                 1.9381,                 2.9988,                 1.6124,                0.00646,                0.55003,                0.03969,                 0.0138,                 1.8721,                 3.5922,                 1.6862,               0.000403,               0.000403,               0.000403
                      3,                 1.8905,                 2.8302,                 1.5687,                0.00794,                0.60501,                 0.0363,                0.01153,                 1.9986,                 3.4514,                 1.7729,             0.00059165,             0.00059165,             0.00059165
                      4,                 1.8885,                 2.7429,                 1.5882,                0.11168,                 0.0896,                0.05286,                 0.0161,                 2.1196,                 3.3778,                 1.8917,               0.000766,               0.000766,               0.000766
                      5,                 1.8696,                 2.6383,                  1.578,                0.54025,                0.05435,                0.03373,                0.01136,                  2.126,                 3.4733,                 1.9866,             0.00092605,             0.00092605,             0.00092605
                      6,                 1.9229,                 2.5993,                 1.5961,                0.55138,                 0.1087,                0.04769,                0.01498,                  2.311,                 3.3787,                 2.1067,              0.0010718,              0.0010718,              0.0010718
                      7,                 1.9149,                 2.5952,                    1.6,                0.09483,                0.15925,                0.04323,                0.01334,                 2.3399,                   3.35,                 2.0394,              0.0012032,              0.0012032,              0.0012032
                      8,                 1.9848,                 2.5458,                 1.5841,                0.08776,                 0.1704,                0.04689,                0.01441,                 2.3452,                 4.2235,                 2.1333,              0.0012819,              0.0012819,              0.0012819
                      9,                 1.9451,                 2.5482,                 1.5834,                0.11151,                 0.2427,                0.07135,                0.02474,                 2.1779,                 3.5289,                 1.9604,              0.0012819,              0.0012819,              0.0012819
                     10,                 1.8937,                 2.4733,                 1.5817,                0.14478,                0.13722,                0.06381,                0.02204,                 2.2202,                 3.3764,                 2.0778,              0.0012269,              0.0012269,              0.0012269
                     11,                 1.9259,                 2.4995,                 1.5827,                0.08344,                0.23976,                0.05549,                0.02432,                 2.3181,                 3.6423,                 2.2247,              0.0011719,              0.0011719,              0.0011719
                     12,                 1.9594,                   2.44,                  1.609,                0.10234,                0.20393,                 0.0542,                0.02405,                 2.4316,                 6.4664,                 2.4566,              0.0011169,              0.0011169,              0.0011169
                     13,                 1.9088,                 2.4303,                 1.5904,                0.07704,                0.17455,                0.03807,                0.01257,                 2.4187,                  3.586,                 2.2713,              0.0010619,              0.0010619,              0.0010619
                     14,                 1.8688,                 2.3022,                 1.5235,                0.12835,                0.19658,                0.08713,                0.03832,                 2.3031,                  3.176,                 2.1236,              0.0010069,              0.0010069,              0.0010069
                     15,                  1.828,                 2.2265,                 1.4971,                0.14906,                0.16983,                0.05718,                0.01607,                 2.3138,                 3.4637,                 2.2388,             0.00095186,             0.00095186,             0.00095186
                     16,                 1.8259,                 2.2693,                  1.512,                0.16131,                0.13536,                0.07196,                 0.0285,                 2.1812,                 3.0803,                 1.9841,             0.00089685,             0.00089685,             0.00089685
                     17,                 1.8139,                 2.1571,                 1.4672,                0.16502,                0.18248,                0.08304,                0.02789,                 2.1384,                 3.0535,                 1.9098,             0.00084184,             0.00084184,             0.00084184
                     18,                 1.7779,                 2.1283,                 1.4491,                0.22092,                0.18806,                0.11713,                0.03914,                 2.1462,                 2.9086,                 1.8718,             0.00078682,             0.00078682,             0.00078682
                     19,                 1.7369,                  2.112,                 1.4394,                0.21464,                0.19099,                0.12857,                0.04043,                 2.1473,                 2.9452,                 1.8709,             0.00073181,             0.00073181,             0.00073181
                     20,                 1.7411,                 2.0778,                 1.4249,                0.21073,                0.21302,                0.12579,                0.04358,                 2.1026,                 3.0103,                 1.8626,              0.0006768,              0.0006768,              0.0006768
                     21,                 1.8484,                 2.3761,                 1.5522,                0.17627,                0.21538,                0.12244,                0.04442,                 2.0543,                 2.7383,                 1.8239,             0.00062179,             0.00062179,             0.00062179
                     22,                 1.7247,                 2.1809,                 1.4289,                0.20584,                0.16661,                0.12535,                0.05014,                 2.0862,                 2.7899,                 1.7802,             0.00056678,             0.00056678,             0.00056678
                     23,                 1.7305,                 2.1673,                 1.4461,                0.28314,                0.18248,                0.14358,                0.05508,                  2.055,                 2.8565,                 1.7793,             0.00051177,             0.00051177,             0.00051177
                     24,                 1.7191,                 2.1446,                 1.4467,                0.32093,                0.18892,                0.15294,                0.05967,                 2.0137,                 2.8266,                 1.7877,             0.00045676,             0.00045676,             0.00045676
                     25,                 1.7054,                 2.0979,                 1.4311,                0.20234,                0.25902,                0.16278,                 0.0593,                 1.9927,                 2.7773,                 1.8093,             0.00040175,             0.00040175,             0.00040175
                     26,                   1.65,                 2.0017,                 1.3997,                0.24771,                0.26886,                 0.1553,                 0.0574,                 1.9805,                  2.722,                 1.7765,             0.00034674,             0.00034674,             0.00034674
                     27,                  1.641,                 1.9654,                 1.3933,                0.35154,                0.24712,                0.17434,                0.06609,                 1.9565,                 2.7613,                 1.7452,             0.00029172,             0.00029172,             0.00029172
                     28,                 1.6317,                  1.934,                 1.3911,                 0.3069,                 0.2906,                0.18625,                0.07907,                 1.9415,                 2.6062,                 1.7428,             0.00023671,             0.00023671,             0.00023671
                     29,                 1.5707,                 1.8902,                 1.3754,                0.24137,                 0.2906,                 0.1905,                0.07756,                 1.9494,                 2.5784,                 1.7503,              0.0001817,              0.0001817,              0.0001817
                     30,                 1.5604,                 1.7956,                  1.338,                0.25551,                0.27444,                0.18165,                0.07227,                 1.9345,                 2.5994,                 1.7257,             0.00012669,             0.00012669,             0.00012669
